"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 15 13:57:53 GMT 2024","Thu Feb 15 13:57:53 GMT 2024","272","","com.techiewolf.tests.unit.FrameworkSanityTest","","com.techiewolf.tests.unit.FrameworkSanityTest","testFakerUtil","testFakerUtil()",""
"passed","Thu Feb 15 13:57:53 GMT 2024","Thu Feb 15 13:57:54 GMT 2024","647","","com.techiewolf.tests.unit.FrameworkSanityTest","","com.techiewolf.tests.unit.FrameworkSanityTest","testSpecFactory","testSpecFactory()",""
"passed","Thu Feb 15 13:57:53 GMT 2024","Thu Feb 15 13:57:53 GMT 2024","169","","com.techiewolf.tests.unit.FrameworkSanityTest","","com.techiewolf.tests.unit.FrameworkSanityTest","testEnvironmentConfig","testEnvironmentConfig()",""
"passed","Thu Feb 15 13:57:54 GMT 2024","Thu Feb 15 13:57:54 GMT 2024","2","","com.techiewolf.tests.unit.FrameworkSanityTest","","com.techiewolf.tests.unit.FrameworkSanityTest","testFrameworkConfig","testFrameworkConfig()","Test framework config"
