"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 10:30:56 GMT 2024","Fri Feb 16 10:30:57 GMT 2024","841","","com.techiewolf.tests.unit.FrameworkSanityTest","","com.techiewolf.tests.unit.FrameworkSanityTest","testFakerUtil","testFakerUtil()",""
"passed","Fri Feb 16 10:30:56 GMT 2024","Fri Feb 16 10:30:57 GMT 2024","419","","com.techiewolf.tests.unit.FrameworkSanityTest","","com.techiewolf.tests.unit.FrameworkSanityTest","testFrameworkConfig","testFrameworkConfig()","Test framework config"
"passed","Fri Feb 16 10:30:56 GMT 2024","Fri Feb 16 10:30:57 GMT 2024","1235","","com.techiewolf.tests.unit.FrameworkSanityTest","","com.techiewolf.tests.unit.FrameworkSanityTest","testSpecFactory","testSpecFactory()",""
"passed","Fri Feb 16 10:30:56 GMT 2024","Fri Feb 16 10:30:57 GMT 2024","413","","com.techiewolf.tests.unit.FrameworkSanityTest","","com.techiewolf.tests.unit.FrameworkSanityTest","testEnvironmentConfig","testEnvironmentConfig()",""
